vintage,avgPrcpFebruary,avgTempFebruary,avgPrcpMarch,avgTempMarch,avgPrcpApril,avgTempApril,avgPrcpMay,avgTempMay,avgPrcpJune,avgTempJune,avgPrcpJuly,avgTempJuly,avgPrcpAugust,avgTempAugust,avgPrcpSeptember,avgTempSeptember,avgPrcpOctober,avgTempOctober,bdod_0-100cm,bdod_100-200cm,cec_0-100cm,cec_100-200cm,cfvo_0-100cm,cfvo_100-200cm,clay_0-100cm,clay_100-200cm,nitrogen_0-100cm,nitrogen_100-200cm,ocd_0-100cm,ocd_100-200cm,ocs_0-30cm,phh2o_0-100cm,phh2o_100-200cm,sand_0-100cm,sand_100-200cm,silt_0-100cm,silt_100-200cm,soc_0-100cm,soc_100-200cm,appellation_Alexander Valley,appellation_Atlas Peak,appellation_Bennett Valley,appellation_Calistoga,appellation_Carneros,appellation_Chalk Hill,appellation_Chehalem Mountains,appellation_Columbia Valley,appellation_Coombsville,appellation_Diamond Mountain District,appellation_Dry Creek Valley,appellation_Dundee Hills,appellation_Eola-Amity Hills,appellation_Green Valley,appellation_Horse Heaven Hills,appellation_Howell Mountain,appellation_Knights Valley,appellation_Los Carneros,appellation_Mendocino Ridge,appellation_Mount Veeder,appellation_Napa County,appellation_Napa Valley,appellation_Oak Knoll District,appellation_Oakville,appellation_Red Mountain,appellation_Ribbon Ridge,appellation_Russian River Valley,appellation_Rutherford,appellation_Santa Cruz Mountains,appellation_Santa Lucia Highlands,appellation_Santa Ynez Valley,appellation_Sonoma Coast,appellation_Sonoma County,appellation_Sonoma Valley,appellation_Spring Mountain District,appellation_St Helena,appellation_Sta Rita Hills,appellation_Stags Leap District,appellation_Walla Walla Valley,appellation_Willamette Valley,appellation_Yakima Valley,appellation_Yountville,vineyard_Abreu Vineyard,vineyard_Alpha Omega,vineyard_Andrew Will Winery,vineyard_Araujo Estate,vineyard_Barnett Vineyards,vineyard_Beaulieu Vineyard Bv,vineyard_Beringer Vineyards,vineyard_Betz Family Winery,vineyard_Bond Estates,vineyard_Bryant Family Vineyard,vineyard_Cakebread Cellars,vineyard_Carter Cellars,vineyard_Caymus Vineyards,vineyard_Cayuse Vineyards,vineyard_Chappellet,vineyard_Chateau Montelena The Montelena Estate,vineyard_Cliff Lede Vineyards,vineyard_Colgin Cellars,vineyard_Corison,vineyard_Dalla Valle Vineyards,vineyard_Delille Cellars,vineyard_Diamond Creek,vineyard_Domaine Serene,vineyard_Dominus Estate,vineyard_Duckhorn Vineyards,vineyard_Duckhorn Vineyards Estate,vineyard_Dunn Vineyards,vineyard_Etude,vineyard_Favia,vineyard_Flora Springs,vineyard_Forman Vineyard,vineyard_Freemark Abbey,vineyard_Gramercy Cellars,vineyard_Grgich Hills Estate,vineyard_Harlan Estate,vineyard_Hundred Acre,vineyard_Joseph Phelps Vineyards,vineyard_Kapcsandy Family Winery,vineyard_L'Ecole No. 41,vineyard_La Jota Vineyard,vineyard_Larkmead Vineyards,vineyard_Leonetti Cellar,vineyard_Lokoya Winery,vineyard_Long Shadows,vineyard_Marcassin,vineyard_Martinelli,vineyard_Mayacamas Vineyards,vineyard_Nickel & Nickel,vineyard_Opus One,vineyard_Other,vineyard_Outpost,vineyard_Pahlmeyer,vineyard_Paul Hobbs,vineyard_Pepper Bridge Winery,vineyard_Peter Michael Winery,vineyard_Philip Togni Vineyard,vineyard_Pine Ridge Vineyards,vineyard_Plumpjack Winery,vineyard_Quilceda Creek,vineyard_Ramey Wine Cellars,vineyard_Realm Cellars,vineyard_Ridge Vineyards,vineyard_Robert Craig Winery,vineyard_Robert Foley Vineyards,vineyard_Robert Mondavi Winery,vineyard_Saintsbury,vineyard_Schrader Cellars,vineyard_Screaming Eagle,vineyard_Shafer Vineyards,vineyard_Spottswoode,vineyard_Stag'S Leap Wine Cellars,vineyard_Verite
2013,0.019852941176470587,51,0.05770491803278705,57,0.05148148148148137,60,0.0005797101449275362,62,0.006557377049180332,64,0.0009944751381215477,65,0.0,67,0.010784313725490192,66,0.002524271844660196,60,139.75,149,153.4,145,183.5,245,197.5,193,145.70000000000002,60,124.95,25,60,5.502059991327963,5.9,442.1,468,324.85,283,128.55,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65,157.60000000000002,160,242.65,228,11.0,10,271.20000000000005,289,69.55000000000001,36,117.85,36,38,6.1020599913279625,6.800000000000001,196.15,230,359.55,335,69.7,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.2592857142857143,47,0.03483870967741936,54,0.015333333333333338,52,0.0,63,0.008666666666666666,66,0.0,65,0.0,66,0.017241379310344827,63,0.01645161290322581,62,140.8,150,290.2,289,153.5,150,282.55,273,72.6,40,109.2,31,45,5.902059991327963,6.4,203.0,191,418.85,410,84.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.2592857142857143,47,0.03483870967741936,54,0.015333333333333338,52,0.0,63,0.008666666666666666,66,0.0,65,0.0,66,0.017241379310344827,63,0.01645161290322581,62,140.8,150,290.2,289,153.5,150,282.55,273,72.6,40,109.2,31,45,5.902059991327963,6.4,203.0,191,418.85,410,84.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.2592857142857143,47,0.03483870967741936,54,0.015333333333333338,52,0.0,63,0.008666666666666666,66,0.0,65,0.0,66,0.017241379310344827,63,0.01645161290322581,62,140.8,150,290.2,289,153.5,150,282.55,273,72.6,40,109.2,31,45,5.902059991327963,6.4,203.0,191,418.85,410,84.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.2592857142857143,47,0.03483870967741936,54,0.015333333333333338,52,0.0,63,0.008666666666666666,66,0.0,65,0.0,66,0.017241379310344827,63,0.01645161290322581,62,140.8,150,290.2,289,153.5,150,282.55,273,72.6,40,109.2,31,45,5.902059991327963,6.4,203.0,191,418.85,410,84.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.2592857142857143,47,0.03483870967741936,54,0.015333333333333338,52,0.0,63,0.008666666666666666,66,0.0,65,0.0,66,0.017241379310344827,63,0.01645161290322581,62,157.60000000000002,160,242.65,228,11.0,10,271.20000000000005,289,69.55000000000001,36,117.85,36,38,6.1020599913279625,6.800000000000001,196.15,230,359.55,335,69.7,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.2592857142857143,47,0.03483870967741936,54,0.015333333333333338,52,0.0,63,0.008666666666666666,66,0.0,65,0.0,66,0.017241379310344827,63,0.01645161290322581,62,149.5,150,234.05,232,39.5,65,264.04999999999995,236,72.7,38,113.25,37,40,5.802059991327963,6.4,256.95,273,407.15,369,71.94999999999999,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2001,0.2592857142857143,47,0.03483870967741936,54,0.015333333333333338,52,0.0,63,0.008666666666666666,66,0.0,65,0.0,66,0.017241379310344827,63,0.01645161290322581,62,140.8,150,290.2,289,153.5,150,282.55,273,72.6,40,109.2,31,45,5.902059991327963,6.4,203.0,191,418.85,410,84.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.2592857142857143,47,0.03483870967741936,54,0.015333333333333338,52,0.0,63,0.008666666666666666,66,0.0,65,0.0,66,0.017241379310344827,63,0.01645161290322581,62,140.8,150,290.2,289,153.5,150,282.55,273,72.6,40,109.2,31,45,5.902059991327963,6.4,203.0,191,418.85,410,84.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
