vintage,avgPrcpFebruary,avgTempFebruary,avgPrcpMarch,avgTempMarch,avgPrcpApril,avgTempApril,avgPrcpMay,avgTempMay,avgPrcpJune,avgTempJune,avgPrcpJuly,avgTempJuly,avgPrcpAugust,avgTempAugust,avgPrcpSeptember,avgTempSeptember,avgPrcpOctober,avgTempOctober,bdod_0-100cm,bdod_100-200cm,cec_0-100cm,cec_100-200cm,cfvo_0-100cm,cfvo_100-200cm,clay_0-100cm,clay_100-200cm,nitrogen_0-100cm,nitrogen_100-200cm,ocd_0-100cm,ocd_100-200cm,ocs_0-30cm,phh2o_0-100cm,phh2o_100-200cm,sand_0-100cm,sand_100-200cm,silt_0-100cm,silt_100-200cm,soc_0-100cm,soc_100-200cm,appellation_Alexander Valley,appellation_Carneros,appellation_Columbia Valley,appellation_Coombsville,appellation_Dundee Hills,appellation_Eola-Amity Hills,appellation_Knights Valley,appellation_Los Carneros,appellation_Napa County,appellation_Napa Valley,appellation_Oak Knoll District,appellation_Oakville,appellation_Red Mountain,appellation_Russian River Valley,appellation_Rutherford,appellation_Santa Cruz Mountains,appellation_Sonoma Coast,appellation_Sonoma County,appellation_Sonoma Mountain,appellation_Spring Mountain District,appellation_St Helena,appellation_Willamette Valley,vineyard_Beringer Vineyards,vineyard_Delille Cellars,vineyard_Grgich Hills Estate,vineyard_Joseph Phelps Vineyards,vineyard_Kistler Vineyards,vineyard_Kongsgaard,vineyard_Martinelli,vineyard_Other,vineyard_Pahlmeyer,vineyard_Paul Hobbs,vineyard_Peter Michael Winery
2015,0.17474747474747232,58,0.01863013698630131,60,0.0962544169611311,59,0.002988505747126429,60,0.0006451612903225812,65,0.0011320754716981141,69,0.0009473684210526324,70,0.0006866952789699543,68,0.0055813953488371955,66,139.75,149,153.4,145,183.5,245,197.5,193,145.70000000000002,60,124.95,25,60,5.502059991327963,5.9,442.1,468,324.85,283,128.55,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65,140.8,150,290.2,289,153.5,150,282.55,273,72.6,40,109.2,31,45,5.902059991327963,6.4,203.0,191,418.85,410,84.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1993,0.2753571428571428,58,0.08612903225806451,67,0.050666666666666665,68,0.06892857142857144,73,0.029333333333333333,86,0.0,86,0.0,86,0.0,85,0.05870967741935484,77,145.7,156,180.8,198,39.5,55,200.64999999999998,205,77.5,36,121.64999999999999,24,52,5.402059991327963,5.800000000000001,441.75,477,319.2,251,98.6,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1998,0.6746428571428572,57,0.07451612903225809,64,0.0603448275862069,68,0.1258064516129032,67,0.005,76,0.0,86,0.0,91,0.0016666666666666668,83,0.02741935483870968,75,145.7,156,180.8,198,39.5,55,200.64999999999998,205,77.5,36,121.64999999999999,24,52,5.402059991327963,5.800000000000001,441.75,477,319.2,251,98.6,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65,140.8,150,290.2,289,153.5,150,282.55,273,72.6,40,109.2,31,45,5.902059991327963,6.4,203.0,191,418.85,410,84.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,145.0,150,184.4,190,105.5,110,262.8,298,84.7,36,121.6,29,55,5.202059991327963,5.7,352.4,337,371.65,346,110.95,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65,140.8,150,290.2,289,153.5,150,282.55,273,72.6,40,109.2,31,45,5.902059991327963,6.4,203.0,191,418.85,410,84.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,145.0,150,184.4,190,105.5,110,262.8,298,84.7,36,121.6,29,55,5.202059991327963,5.7,352.4,337,371.65,346,110.95,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,145.0,150,184.4,190,105.5,110,262.8,298,84.7,36,121.6,29,55,5.202059991327963,5.7,352.4,337,371.65,346,110.95,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2007,0.21178571428571424,59,0.0009677419354838711,71,0.06833333333333333,70,0.011935483870967744,78,0.0,85,0.0009677419354838711,86,0.0,87,0.005000000000000001,80,0.06548387096774193,71,157.2,160,219.55,294,0.0,0,166.8,157,69.25,31,115.15,32,36,5.6020599913279625,6.4,425.55,506,369.85,276,59.849999999999994,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
